Record IDs,Factor 1,Factor 2,Factor 3,Cluster
420,-0.084809045,-0.391683609,0.046924747,1
421,0.001294444,-0.282992785,0.356894423,1
422,-0.065507023,-0.203396908,0.137285536,1
423,-0.050858369,0.108110608,0.489905986,1
424,-0.406496127,0.590199013,-0.369805404,1
425,0.085986835,-0.505801067,-0.072090028,1
426,0.157830522,-0.300611837,0.190697627,1
427,-0.048151891,-0.408670532,0.20599993,1
428,0.582389578,-0.557279,0.286709492,1
429,-0.560607707,1.048341074,-0.222727968,1
430,0.556208077,-0.824985614,-1.788270564,2
431,-0.216456452,0.246914778,-9.759189197,2
432,-0.365351252,-0.032979951,-3.150331156,2
433,-0.15008278,-0.442553643,0.058519137,1
434,-0.212030546,-0.242729047,-0.123201906,1
435,-0.071804897,-0.256290172,0.393602855,1
436,0.099091986,-0.166836085,-0.199792323,1
437,-0.010260824,-0.293893881,0.280043799,1
438,-0.068321263,-0.333662025,0.028374754,1
439,-0.018195429,-0.468428389,0.089404698,1
440,-0.149213178,-0.59982799,-0.220265126,1
441,0.012505298,-0.016171801,0.194386329,1
442,-0.084882415,0.33188423,0.811025574,1
443,0.158933755,-0.169612472,0.265848776,1
444,-0.0356577,-0.523125832,-0.147679314,1
445,-0.583653721,-0.414983185,-3.252912094,2
446,-0.087180083,0.29252237,0.384064696,1
447,-0.290089309,0.287397963,-0.247691466,1
448,0.016530763,-0.449298919,0.386226597,1
449,-0.123735911,-0.181202133,0.227565388,1
450,0.028204998,-0.260452195,0.244935377,1
451,-0.075087224,-0.135284487,0.447522066,1
452,0.061650215,0.065909601,0.3698814,1
453,-0.079011782,-0.220107349,0.003905271,1
454,-0.07169911,-0.374060515,0.244623623,1
455,0.072257075,0.155427932,0.496423223,1
456,0.18505438,0.402054704,0.227459865,1
457,0.518708614,-0.484875629,0.390352387,1
458,-0.088788404,-0.309534452,0.196339705,1
459,0.157385463,-0.407547546,0.44047178,1
460,0.022649043,-0.26891514,0.229060269,1
461,-0.221354387,-0.374071585,-0.167222922,1
462,-0.62071825,0.890326638,-8.540414829,2
463,-0.007576966,-0.45848464,0.380890035,1
464,0.076410717,0.055960461,0.555655512,1
465,-0.379258728,3.833741638,1.825361298,1
